emb_type,m,n,k,cohesion-lit-gpt-p-val,cohesion-lit-bot-p-val,separation-lit-gpt-p-val,separation-lit-bot-p-val,RS-lit-gpt-p-val,RS-lit-bot-p-val,RMSSTD-lit-gpt-p-val,RMSSTD-lit-bot-p-val
svd,2,7,9,1.311531171677558e-157,0.0,9.778709329392124e-160,0.0,3.761899339435407e-55,5.535690044921905e-69,8.072568140617535e-158,0.0
svd,2,7,10,2.52941942063818e-157,0.0,2.8651944356190857e-159,0.0,7.097434310379998e-59,2.2582064410518115e-82,1.3386548223083368e-157,0.0
svd,2,8,5,2.440256034001906e-159,0.0,4.5345806840185714e-161,0.0,6.216351992417486e-53,0.0187060744699827,2.0782667061809454e-159,0.0
svd,2,8,6,1.519780575036883e-157,0.0,5.2266080967314585e-163,0.0,2.713808347882933e-53,0.688287941279971,1.2537754106045017e-157,0.0
svd,2,8,7,1.3839656458313636e-156,0.0,5.48298913639086e-163,0.0,1.9601323953733962e-51,0.0019488356622547,1.074559694097147e-156,0.0
svd,2,8,8,2.9732494529581683e-156,0.0,2.0672184944252715e-162,0.0,1.4032211984453677e-50,5.149009504058102e-16,2.181024931036088e-156,0.0
svd,2,8,9,1.7758609421404538e-155,0.0,1.244739936029007e-162,0.0,3.096910915032775e-53,1.3005873648786097e-33,1.2165852451694925e-155,0.0
svd,2,8,10,3.207972267446955e-155,0.0,1.2553996898079875e-161,0.0,1.3192174287671688e-54,1.2788153784082478e-47,1.8086523940291301e-155,0.0
svd,2,9,5,1.3375201501862885e-159,0.0,3.277537451133441e-160,0.0,1.196303254235788e-46,0.0018723229180293,1.186875949574148e-159,0.0
svd,2,9,6,6.9370288114278835e-158,0.0,9.06545320477706e-162,0.0,3.861246378180703e-47,0.0406875057015265,5.5941047718638756e-158,0.0
svd,2,9,7,2.290406295589408e-156,0.0,6.148157447623146e-163,0.0,4.486968371249672e-48,0.9837798019202252,1.8042459591367828e-156,0.0
svd,2,9,8,8.90526293552339e-155,0.0,2.463853266668913e-163,0.0,1.2020111106127684e-48,0.0104832933876924,6.4629677017194635e-155,0.0
svd,2,9,9,9.161765727299853e-155,0.0,2.6803440380467714e-162,0.0,5.468651908297853e-46,1.5327773290935168e-11,6.269199752126744e-155,0.0
svd,2,9,10,6.99997581521404e-154,0.0,7.584245538374125e-162,0.0,4.6209253206313365e-46,8.563202516484753e-23,4.153400068218183e-154,0.0
svd,2,10,5,9.941270249396717e-160,0.0,1.1619765501957084e-158,0.0,3.0473248515832897e-39,0.0004018375469118,8.712736824932512e-160,0.0
svd,2,10,6,1.0797198387737978e-157,0.0,5.176740680202099e-161,0.0,1.3876363699653607e-40,0.0174629730233937,9.090859657646712e-158,0.0
svd,2,10,7,1.8908957754562385e-156,0.0,5.636930078834954e-162,0.0,1.198939768256041e-41,0.095221099421285,1.465328059685208e-156,0.0
svd,2,10,8,3.645884640917674e-155,0.0,1.2090198732946514e-162,0.0,3.4159888210989423e-43,0.5707515017264019,2.7267674040799144e-155,0.0
svd,2,10,9,2.9143608180829802e-154,0.0,1.1171417810563823e-162,0.0,1.931192556925832e-43,0.0078615030168269,2.0239786727128438e-154,0.0
svd,2,10,10,2.320060642490561e-153,0.0,1.8828922967468996e-163,0.0,2.8373567005110536e-45,3.748653228051442e-08,1.4787824907897072e-153,0.0
svd,3,2,5,0.0061883663263152,0.0,2.319142727379029e-164,0.0,3.0995250577946518e-133,0.0,0.00225619855087,0.0
svd,3,2,6,0.6673618196193113,0.0,5.111168069241584e-167,0.0,9.317669683770624e-142,0.0,0.4189614889811279,0.0
svd,3,2,7,4.2045139612080496e-18,0.0,5.581866013103168e-170,0.0,2.729308075792379e-158,0.0,1.1898833433642967e-16,0.0
svd,3,2,8,1.3420933655296902e-38,0.0,1.6476694812712023e-172,0.0,1.9725290783351543e-172,0.0,2.2765358982706413e-36,0.0
svd,3,2,9,2.0658018472737678e-29,0.0,9.347057899148016e-172,0.0,8.872910074533386e-169,0.0,4.7756509228610566e-27,0.0
svd,3,2,10,9.832098317323272e-16,0.0,4.35011960538231e-171,0.0,1.0283047647760274e-163,0.0,1.0267585427196302e-13,0.0
svd,3,3,5,2.215105442011134e-168,0.0,1.1045918935216065e-143,0.0,8.289660390193211e-71,4.231711047353667e-283,4.697485825240235e-169,0.0
svd,3,3,6,3.019130020178114e-174,0.0,1.5191915475671868e-144,0.0,2.0858325388941685e-83,8.055371751249107e-309,2.656316516673445e-175,0.0
