emb_type,m,n,k,RMSSTD-lit-gpt-p-val
skipgram,5,3,2,0.0
skipgram,5,3,4,0.0
skipgram,5,3,6,0.0
skipgram,5,3,8,0.0
skipgram,5,3,10,0.0
skipgram,5,4,2,0.0
skipgram,5,4,4,0.0
skipgram,5,4,6,0.0
skipgram,5,4,8,0.0
skipgram,5,4,10,0.0
skipgram,5,5,2,0.0
skipgram,5,5,4,0.0
skipgram,5,5,6,0.0
skipgram,5,5,8,0.0
skipgram,5,5,10,0.0
skipgram,5,6,2,0.0
skipgram,5,6,4,0.0
skipgram,5,6,6,0.0
skipgram,5,6,8,0.0
skipgram,5,6,10,0.0
skipgram,5,7,2,0.0
skipgram,5,7,4,0.0
skipgram,5,7,6,0.0
skipgram,5,7,8,0.0
skipgram,5,7,10,0.0
skipgram,5,8,2,0.0
skipgram,5,8,4,0.0
skipgram,5,8,6,0.0
skipgram,5,8,8,0.0
skipgram,5,8,10,0.0
skipgram,5,9,2,0.0
skipgram,5,9,4,0.0
skipgram,5,9,6,0.0
skipgram,5,9,8,0.0
skipgram,5,9,10,0.0
skipgram,5,10,2,0.0
skipgram,5,10,4,0.0
skipgram,5,10,6,0.0
skipgram,5,10,8,0.0
skipgram,5,10,10,0.0
skipgram,6,2,2,0.0
skipgram,6,2,4,0.0
skipgram,6,2,6,0.0
skipgram,6,2,8,0.0
skipgram,6,2,10,0.0
skipgram,6,3,2,0.0
skipgram,6,3,4,0.0
skipgram,6,3,6,0.0
skipgram,6,3,8,0.0
skipgram,6,3,10,0.0
skipgram,6,4,2,0.0
skipgram,6,4,4,0.0
skipgram,6,4,6,0.0
skipgram,6,4,8,0.0
skipgram,6,4,10,0.0
skipgram,6,5,2,0.0
skipgram,6,5,4,0.0
skipgram,6,5,6,0.0
skipgram,6,5,8,0.0
skipgram,6,5,10,0.0
skipgram,6,6,2,0.0
skipgram,6,6,4,0.0
skipgram,6,6,6,0.0
skipgram,6,6,8,0.0
skipgram,6,6,10,0.0
skipgram,6,7,2,0.0
skipgram,6,7,4,0.0
skipgram,6,7,6,0.0
skipgram,6,7,8,0.0
skipgram,6,7,10,0.0
skipgram,6,8,2,0.0
skipgram,6,8,4,0.0
skipgram,6,8,6,0.0
skipgram,6,8,8,0.0
skipgram,6,8,10,0.0
skipgram,6,9,2,0.0
skipgram,6,9,4,0.0
skipgram,6,9,6,0.0
skipgram,6,9,8,0.0
skipgram,6,9,10,0.0
skipgram,6,10,2,0.0
skipgram,6,10,4,0.0
skipgram,6,10,6,0.0
skipgram,6,10,8,0.0
skipgram,6,10,10,0.0
skipgram,7,2,2,0.0
skipgram,7,2,4,0.0
skipgram,7,2,6,0.0
skipgram,7,2,8,0.0
skipgram,7,2,10,0.0
skipgram,7,3,2,0.0
skipgram,7,3,4,0.0
skipgram,7,3,6,0.0
skipgram,7,3,8,0.0
skipgram,7,3,10,0.0
skipgram,7,4,2,0.0
skipgram,7,4,4,0.0
skipgram,7,4,6,0.0
skipgram,7,4,8,0.0
skipgram,7,4,10,0.0
skipgram,7,5,2,0.0
